refinery,province,Province,technology,ownership,owner,bauxite,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023,2024,2025,2026,2027,2028,2029,2030,2031,Alumina Grade
Kaiman Import,Henan,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Kaiman Import,Shanxi,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Kaiman Import,Other,Henan,L-B,Jinjiang,Jinjiang,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5743154832859729
East Hope Mianchi,Guangxi,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi,Guizhou,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi,Henan,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi,Shanxi,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi,Other,Henan,"H-B, ODT",East Hope,East Hope,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Guangxi,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Guizhou,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Henan,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Shanxi,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
East Hope Mianchi Added LT,Other,Henan,L-B,East Hope,East Hope,Imported,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.517478395583377
Huiyuan Lushan,Guangxi,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huiyuan Lushan,Guizhou,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
Huiyuan Lushan,Henan,Henan,"H-B, ODT","Shenhuo, Huiyuan",Shenhuo,Domestic,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.5826871367435575
